                                                                                                       #config  avg(ms)    p50     p90     p99
              conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[128][3,299,299]   1.992   1.974   1.993   3.364
            conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[128][32,149,149]   8.527   8.531   8.527   8.524
            conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[128][32,147,147]  10.735  10.736  10.739  10.743
                                            maxPool2d{"kernel_size":3,"padding":0,"stride":2}[128][64,147,147]   5.011   5.010   5.010   5.012
              conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[128][64,73,73]   2.053   2.050   2.059   2.052
             conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[128][80,73,73]   9.307   9.309   9.308   9.307
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[128][192,71,71]   4.524   4.526   4.523   4.524
            conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][192,35,35]   1.001   1.000   1.002   0.999
            conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[128][192,35,35]   0.908   0.906   0.906   0.906
            conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][192,35,35]   0.976   0.974   0.976   0.980
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][192,35,35]   2.619   2.618   2.620   2.618
              conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[128][48,35,35]   1.548   1.549   1.548   1.546
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][64,35,35]   1.193   1.193   1.192   1.195
            conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[128][192,35,35]   0.606   0.604   0.605   0.607
              conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][96,35,35]   1.539   1.541   1.539   1.537
                                                                       concat{"kernel_size":1}[128][256,35,35]   1.916   1.871   1.870   1.874
            conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][256,35,35]   1.248   1.250   1.246   1.242
            conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[128][256,35,35]   1.156   1.156   1.153   1.157
            conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][256,35,35]   1.219   1.218   1.223   1.218
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][256,35,35]   3.485   3.484   3.485   3.484
              conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[128][48,35,35]   1.548   1.548   1.548   1.546
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][64,35,35]   1.192   1.191   1.192   1.192
            conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][256,35,35]   1.247   1.246   1.246   1.248
              conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][96,35,35]   1.546   1.545   1.547   1.545
                                                                       concat{"kernel_size":1}[128][288,35,35]   2.242   2.085   2.087  17.303
            conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][288,35,35]   1.422   1.421   1.419   1.424
            conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[128][288,35,35]   1.287   1.287   1.290   1.289
            conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][288,35,35]   1.384   1.384   1.389   1.375
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][288,35,35]   3.919   3.919   3.918   3.918
              conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[128][48,35,35]   1.548   1.549   1.549   1.546
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][64,35,35]   1.192   1.191   1.192   1.191
            conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][288,35,35]   1.417   1.417   1.419   1.411
              conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][96,35,35]   1.545   1.544   1.542   1.545
                                                                       concat{"kernel_size":1}[128][288,35,35]   1.682   1.684   1.683   1.683
           conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[128][288,35,35]   3.501   3.503   3.503   3.504
            conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[128][288,35,35]   1.406   1.408   1.411   1.408
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[128][288,35,35]   1.332   1.333   1.334   1.331
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[128][64,35,35]   1.199   1.198   1.196   1.198
              conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[128][96,35,35]   0.787   0.787   0.787   0.788
                                                                       concat{"kernel_size":1}[128][768,17,17]   1.320   1.320   1.317   1.321
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.035   1.034   1.036   1.034
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[128][768,17,17]   0.941   0.940   0.942   0.934
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[128][768,17,17]   0.915   0.915   0.913   0.913
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][768,17,17]   2.499   2.486   2.575   2.475
   conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[128][128,17,17]   0.577   0.576   0.577   0.578
   conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[128][128,17,17]   0.548   0.552   0.549   0.555
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.033   1.033   1.035   1.030
   conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][128,17,17]   0.771   0.770   0.772   0.771
   conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[128][128,17,17]   0.571   0.571   0.570   0.571
   conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[128][128,17,17]   0.542   0.537   0.543   0.544
