                                                                                                       #config  avg(ms)    p50     p90     p99
              conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[128][3,224,224]  13.509  13.509  13.561  13.612
            conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[128][64,224,224]  39.923  39.927  39.986  40.027
                                            maxPool2d{"kernel_size":2,"padding":0,"stride":2}[128][64,224,224]  11.960  11.963  11.973  11.972
           conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[128][64,112,112]  14.844  14.837  14.855  14.853
         conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[128][128,112,112]  21.491  21.489  21.505  21.521
                                           maxPool2d{"kernel_size":2,"padding":0,"stride":2}[128][128,112,112]   5.982   5.980   5.983   6.007
           conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[128][128,56,56]   9.525   9.526   9.530   9.537
           conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[128][256,56,56]  16.238  16.241  16.249  16.323
           conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[128][256,56,56]  16.248  16.245  16.251  16.365
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[128][256,56,56]   3.038   3.038   3.038   3.055
           conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][256,28,28]   7.644   7.643   7.649   7.680
           conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][512,28,28]  13.840  13.847  13.855  13.908
           conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][512,28,28]  13.840  13.841  13.866  13.921
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[128][512,28,28]   1.581   1.580   1.582   1.593
           conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][512,14,14]   3.662   3.663   3.668   3.679
           conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][512,14,14]   3.748   3.747   3.752   3.762
           conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[128][512,14,14]   3.742   3.743   3.750   3.777
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[128][512,14,14]   0.440   0.440   0.439   0.440
                                                                        flatten{"kernel_size":1}[128][512,7,7]   0.011   0.010   0.010   0.010
                                         linear{"bias":true,"in_features":25088,"out_features":4096}[128]25088   2.076   2.076   2.080   2.083
                                           linear{"bias":true,"in_features":4096,"out_features":4096}[128]4096   0.447   0.446   0.446   0.450
                                           linear{"bias":true,"in_features":4096,"out_features":1000}[128]4096   0.057   0.057   0.058   0.058
                                                                                            SUM(avg)  203.845
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[64][3,224,224]   6.955   6.955   6.986   7.126
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[64][64,224,224]  20.018  20.014  20.019  20.058
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[64][64,224,224]   5.966   5.966   5.966   5.969
            conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[64][64,112,112]   7.513   7.512   7.514   7.510
          conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[64][128,112,112]  10.829  10.828  10.830  10.876
                                            maxPool2d{"kernel_size":2,"padding":0,"stride":2}[64][128,112,112]   2.991   2.990   2.990   2.991
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][128,56,56]   4.864   4.863   4.864   4.861
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[64][256,56,56]   8.230   8.229   8.232   8.241
